corpus,N,Acc@1,Acc@5,Acc@10
english_ncbi,2158.0,0.5894,0.6779,0.7368
simp_chinese,13425.0,0.6339,0.7815,0.808
trad_chinese,5806.0,0.6514,0.7919,0.8324
ALL,21389.0,0.6342,0.7739,0.8074
