corpus,N,Acc@1,Acc@5,Acc@10
english_ncbi,2158.0,0.576,0.6687,0.7442
simp_chinese,13425.0,0.6335,0.7835,0.8094
trad_chinese,2681.0,0.6822,0.7773,0.8146
ALL,18264.0,0.6339,0.7691,0.8025
