corpus,N,Acc@1,Acc@5,Acc@10
english_ncbi,2158.0,0.2201,0.4217,0.5148
simp_chinese,13425.0,0.2588,0.383,0.4359
trad_chinese,2681.0,0.1332,0.1708,0.182
ALL,18264.0,0.2358,0.3564,0.408
