corpus,N,Acc@1,Acc@5,Acc@10
english_ncbi,2158.0,0.5667,0.6622,0.7312
simp_chinese,13425.0,0.6282,0.7791,0.8007
trad_chinese,5806.0,0.5429,0.7113,0.7589
ALL,21389.0,0.5988,0.7489,0.7823
